DATE,PM_10,PM_2_5,TEMP,PRESS,HUMID
20231129-235711,4.70,2.13,18.31,99235.78,39.29
20231129-235938,4.05,2.40,18.27,99232.09,39.13
20231130-000205,4.30,2.15,18.29,99242.28,39.22
20231130-000431,3.33,2.10,18.26,99232.31,39.71
20231130-000657,4.15,2.25,18.24,99232.56,39.21
20231130-000926,3.03,2.25,18.21,99222.59,39.40
20231130-001154,3.60,2.50,18.20,99228.84,39.17
20231130-001420,4.15,2.60,18.16,99216.50,39.81
20231130-001646,4.75,2.60,18.13,99219.56,39.66
20231130-001913,3.67,2.35,18.13,99228.16,39.57
20231130-002139,4.07,2.47,18.11,99221.59,39.58
20231130-002407,3.75,2.40,18.12,99228.41,39.90
20231130-002634,3.60,2.50,18.10,99225.25,39.49
20231130-002900,4.50,2.45,18.09,99223.66,39.59
20231130-003127,3.95,2.40,18.07,99221.28,39.62
20231130-003353,6.38,2.63,18.05,99214.72,39.72
20231130-003619,4.53,2.60,18.04,99216.53,39.69
20231130-003845,4.22,2.60,18.01,99216.22,39.34
20231130-004115,4.80,2.38,17.98,99211.47,39.70
20231130-004342,3.95,2.42,17.97,99215.88,39.52
20231130-004609,5.30,2.70,17.97,99209.91,39.42
20231130-004837,4.15,2.70,17.94,99199.94,39.96
20231130-005104,4.18,2.50,17.87,99189.63,39.81
20231130-005331,6.88,2.83,17.89,99193.56,39.72
20231130-005559,4.38,2.67,17.89,99190.19,39.78
20231130-010053,5.38,2.58,17.88,99185.97,39.67
20231130-010320,4.22,2.60,17.85,99186.44,39.68
20231130-010546,3.97,2.40,17.83,99188.53,39.60
20231130-010814,5.00,2.70,17.81,99193.16,39.83
20231130-011040,4.35,2.65,17.81,99180.13,39.54
20231130-011306,4.55,2.60,17.80,99179.31,39.88
20231130-011533,4.35,2.20,17.78,99175.38,39.84
20231130-011759,4.43,2.63,17.76,99174.81,39.69
20231130-012025,4.45,2.80,17.74,99169.81,40.03
20231130-012255,4.13,2.65,17.72,99165.88,39.85
20231130-012521,3.92,2.80,17.70,99167.91,39.94
20231130-012750,4.65,3.00,17.71,99164.31,39.82
20231130-013016,4.43,2.58,17.70,99160.91,39.51
20231130-013244,6.13,2.95,17.68,99149.91,39.85
20231130-013510,5.07,2.83,17.67,99142.31,39.58
20231130-013736,4.45,2.90,17.65,99139.94,40.17
20231130-014004,5.15,2.90,17.63,99130.78,40.01
20231130-014230,4.07,2.83,17.61,99125.00,40.14
20231130-014457,4.85,2.60,17.61,99117.16,39.84
20231130-014723,4.65,2.70,17.59,99111.41,40.12
20231130-014949,5.00,2.80,17.58,99099.41,40.19
20231130-015218,4.68,2.63,17.58,99113.22,39.90
20231130-015445,5.78,2.85,17.54,99113.91,40.02
20231130-015711,4.00,2.40,17.53,99117.56,40.25
20231130-015940,4.90,3.10,17.51,99106.56,40.22
20231130-020206,5.07,2.97,17.52,99102.97,40.13
20231130-020433,5.30,2.83,17.51,99102.16,39.92
20231130-020659,5.65,2.50,17.49,99108.63,40.21
20231130-020925,5.60,2.67,17.48,99107.84,39.93
20231130-021152,5.55,2.60,17.47,99101.03,40.17
20231130-021655,4.40,2.95,17.42,99095.69,40.25
20231130-021922,5.40,2.55,17.40,99091.75,40.38
20231130-022149,5.78,2.60,17.43,99099.13,40.12
20231130-022415,5.38,2.95,17.42,99092.28,39.93
20231130-022641,4.65,2.70,17.38,99084.16,40.13
20231130-022908,4.18,2.65,17.34,99077.81,39.87
20231130-023135,4.53,2.70,17.38,99089.38,39.94
20231130-023402,5.28,2.90,17.38,99093.78,40.12
20231130-023629,4.88,2.92,17.36,99095.81,40.30
20231130-023857,4.38,2.70,17.33,99099.69,40.05
20231130-024123,5.18,2.85,17.33,99102.31,40.14
20231130-024350,4.15,2.83,17.28,99083.19,40.05
20231130-024617,4.97,3.13,17.29,99082.94,40.18
20231130-024843,5.95,2.92,17.27,99084.19,40.56
20231130-025109,4.72,2.63,17.28,99083.19,40.31
20231130-025336,4.63,2.92,17.26,99075.59,40.02
20231130-025603,3.83,2.78,17.27,99086.78,40.41
20231130-025833,4.90,2.60,17.22,99071.09,39.97
20231130-030100,5.20,2.80,17.22,99076.28,40.40
20231130-030326,5.00,2.80,17.22,99084.09,40.02
20231130-030552,5.55,3.10,17.19,99079.38,40.28
20231130-030819,5.72,2.80,17.20,99071.31,40.14
20231130-031045,4.22,2.60,17.19,99074.94,40.17
20231130-031311,3.90,2.72,17.18,99067.38,40.42
20231130-031538,4.28,2.58,17.17,99077.00,40.51
20231130-031804,5.95,2.70,17.14,99081.84,40.48
20231130-032031,5.03,2.88,17.15,99080.84,40.46
20231130-032257,6.25,3.10,17.13,99068.06,40.12
20231130-032523,4.68,2.90,17.12,99058.66,39.90
20231130-032749,5.15,2.95,17.13,99067.25,40.03
20231130-033016,5.15,2.80,17.11,99069.28,40.24
20231130-033242,4.35,2.75,17.03,99064.47,40.34
20231130-033509,3.97,2.80,17.03,99060.03,40.04
20231130-033735,4.72,3.10,17.07,99057.75,40.05
20231130-034001,5.40,2.95,17.07,99058.56,40.56
20231130-034228,4.32,2.70,17.06,99056.97,39.89
20231130-034455,4.35,2.90,17.00,99039.66,40.53
20231130-034722,4.75,2.72,17.01,99038.66,40.44
20231130-034948,5.32,2.80,17.03,99035.81,40.53
20231130-035214,5.65,2.90,16.99,99019.84,40.44
20231130-035440,4.93,3.05,16.99,99006.84,40.31
20231130-035706,4.70,2.90,16.97,99001.06,40.51
20231130-035933,5.10,2.72,16.97,98998.47,40.41
20231130-040159,4.50,2.83,16.96,99012.50,40.52
20231130-040425,5.28,2.80,16.95,99008.34,40.41
20231130-040651,4.93,2.92,16.94,99011.94,40.50
20231130-040918,5.10,2.90,16.93,99014.78,40.20
20231130-041144,4.18,2.55,16.93,99022.59,40.39
20231130-041411,5.78,3.00,16.92,99034.03,40.49
20231130-041637,3.85,2.65,16.92,99027.03,40.55
20231130-041903,4.30,2.67,16.91,99012.41,40.44
